Address,Cache Response
95E3,Miss - Compulsory
95E6,Hit
A63F,Miss - Compulsory
56EC,Miss - Compulsory
36BA,Miss - Compulsory
A63A,Hit
CAE7,Miss - Compulsory
56E0,Hit
2ABA,Miss - Compulsory
7536,Miss - Compulsory
D5E8,Miss - Other
CAB6,Miss - Other
CAEF,Hit
A63F,Hit
EABA,Miss - Other
E636,Miss - Other
2AEE,Miss - Other
0ABC,Miss - Other
D5E2,Hit
56B6,Miss - Other
9537,Miss - Other
35EA,Miss - Other
36BC,Miss - Other
95E9,Miss - Other
7536,Miss - Other
CAB7,Miss - Other
B5E5,Miss - Other
D5E2,Miss - Other
EABB,Miss - Other
15E6,Miss - Other
2AB3,Miss - Other
CAE7,Miss - Other
D5EE,Miss - Other
15EF,Miss - Other
8AB5,Miss - Other
35EA,Miss - Other
95E6,Miss - Other
2ABA,Miss - Other
B6E4,Miss - Other
56EC,Miss - Other
CABF,Miss - Other
A63A,Miss - Other
